################################################################
# abuse.ch URLhaus Database Dump (CSV - recent URLs only)      #
# Last updated: 2026-05-09 17:39:10 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"3843178","2026-05-09 17:39:10","https://vps.docsbed.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","online","2026-05-09 17:39:10","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843178/","anonymous"
"3843177","2026-05-09 17:36:21","http://119.113.186.130:47205/i","online","2026-05-09 17:36:21","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/3843177/","geenensp"
"3843176","2026-05-09 17:36:11","https://ipv.networkstackmgr.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:36:11","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843176/","anonymous"
"3843175","2026-05-09 17:34:21","https://base.docsbed.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","offline","","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843175/","anonymous"
"3843174","2026-05-09 17:32:10","https://stack.networkstackmgr.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:32:10","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843174/","anonymous"
"3843173","2026-05-09 17:30:22","http://196.190.105.170:47191/bin.sh","online","2026-05-09 17:30:22","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/3843173/","geenensp"
"3843172","2026-05-09 17:30:14","https://doc.docsbed.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","online","2026-05-09 17:30:14","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843172/","anonymous"
"3843171","2026-05-09 17:28:12","http://61.52.186.142:53825/bin.sh","online","2026-05-09 17:28:12","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3843171/","geenensp"
"3843170","2026-05-09 17:27:13","http://61.158.158.106:38763/i","online","2026-05-09 17:27:13","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3843170/","geenensp"
"3843169","2026-05-09 17:27:11","https://tcp.networkstackmgr.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:27:11","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843169/","anonymous"
"3843168","2026-05-09 17:24:14","https://data.textits.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","online","2026-05-09 17:24:14","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843168/","anonymous"
"3843167","2026-05-09 17:23:19","https://net.networkstackmgr.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:23:19","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843167/","anonymous"
"3843166","2026-05-09 17:21:20","http://219.157.134.129:45214/bin.sh","online","2026-05-09 17:21:20","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3843166/","geenensp"
"3843165","2026-05-09 17:19:10","https://hub.textits.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","online","2026-05-09 17:19:10","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843165/","anonymous"
"3843164","2026-05-09 17:18:14","https://git.serverdatahub.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:18:14","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843164/","anonymous"
"3843163","2026-05-09 17:16:25","http://119.113.186.130:47205/bin.sh","online","2026-05-09 17:16:25","malware_download","32-bit,arm,elf,mirai,Mozi","https://urlhaus.abuse.ch/url/3843163/","geenensp"
"3843162","2026-05-09 17:15:23","http://110.39.252.138:35681/bin.sh","online","2026-05-09 17:15:23","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3843162/","geenensp"
"3843161","2026-05-09 17:14:16","https://dev.serverdatahub.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:14:16","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843161/","anonymous"
"3843160","2026-05-09 17:14:15","https://info.textits.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","online","2026-05-09 17:14:15","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843160/","anonymous"
"3843159","2026-05-09 17:10:22","http://cdn.textits.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","offline","","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843159/","anonymous"
"3843158","2026-05-09 17:10:21","http://110.39.224.207:53824/i","online","2026-05-09 17:10:21","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/3843158/","geenensp"
"3843157","2026-05-09 17:10:13","https://cdn.textits.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","online","2026-05-09 17:10:13","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843157/","anonymous"
"3843156","2026-05-09 17:09:23","http://logs.serverdatahub.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","offline","","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843156/","anonymous"
"3843155","2026-05-09 17:09:12","https://logs.serverdatahub.pics/c2cb43a1-3db9-486a-a707-ee88bcdb4813/google.ocx","online","2026-05-09 17:09:12","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843155/","anonymous"
"3843154","2026-05-09 17:06:23","https://web.textits.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock","offline","","malware_download","ClearFake","https://urlhaus.abuse.ch/url/3843154/","anonymous"
